Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_47_833.jpg,0,0,1,0,99.66999,85.58897,0.000235845,56.82555,-5.15E-07
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_47_863.jpg,0,0,0,0,99.66999,85.58897,0.000235845,56.82555,-5.15E-07
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_47_946.jpg,0,0,0,0,99.66999,85.58897,0.000235845,56.82555,-5.15E-07
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_47_988.jpg,0,0,0,0,99.66999,85.58897,0.000235845,56.82555,-5.15E-07
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_48_031.jpg,0,0,0,0,99.66999,85.58897,0.00023583,56.82555,-4.64E-07
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_48_109.jpg,0,0,0,0,99.66999,85.58897,0.000235784,56.82555,-3.11E-07
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_48_151.jpg,0,0,0,0,99.66999,85.58897,0.000235738,56.82555,-1.57E-07
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_48_232.jpg,0,0,0,0,99.66999,85.58897,0.000235575,56.82555,1.67E-08
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_48_314.jpg,0,0,0,0,99.66999,85.58897,0.00023531,56.82555,1.60E-07
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_48_394.jpg,0,0,0,0,99.66999,85.58897,0.000235044,56.82555,3.04E-07
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_48_435.jpg,0,0,0,0,99.66999,85.58897,0.000235014,56.82555,4.06E-07
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_48_476.jpg,0,0,0,0,99.66999,85.58897,0.000234983,56.82555,5.09E-07
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_48_518.jpg,0,0,0,0,99.66999,85.58897,0.000234953,56.82555,6.11E-07
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_48_598.jpg,0,0,0,0,99.66999,85.58897,0.000234937,56.82555,6.62E-07
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_48_678.jpg,0,0.1195926,0,0,99.66929,85.5879,359.9713,56.82399,1.08E-07
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_48_720.jpg,0,0,0.2419615,-0.01353658,99.67028,85.58942,0.01150403,56.8237,7.94E-06
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_48_800.jpg,0,0,0.4838024,0,99.67027,85.58943,0.01020364,56.8237,1.61E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_48_882.jpg,0,0,0.7266017,0,99.67027,85.58944,0.008694338,56.82369,2.27E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_48_923.jpg,0,0,0.8524089,0,99.67027,85.58944,0.007882886,56.8237,2.57E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_49_003.jpg,0,0,1,0,99.67029,85.58945,0.006188777,56.8237,3.03E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_49_086.jpg,0,0,1,0,99.6703,85.58945,0.004456497,56.82371,3.34E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_49_126.jpg,0,0,1,0,99.6703,85.58945,0.003595719,56.82371,3.45E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_49_167.jpg,0,0,1,0,99.67031,85.58945,0.002747556,56.82371,3.51E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_49_249.jpg,0,0,1,0,99.67033,85.58946,0.001117593,56.82372,3.53E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_49_289.jpg,0,0,1,0,99.67032,85.58947,0.000347418,56.82373,3.50E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_49_331.jpg,0,0,1,0,99.67031,85.58948,-0.000737019,56.82372,3.37E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_49_411.jpg,0,0,1,0,99.6703,85.58949,-0.002029764,56.82371,3.11E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_49_451.jpg,0,0,1,0,99.6703,85.58949,-0.002602365,56.82371,2.96E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_49_532.jpg,0,0,1,0,99.67028,85.58949,-0.003587763,56.8237,2.63E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_49_572.jpg,0,0,1,0,99.67028,85.58948,-0.003997086,56.8237,2.43E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_49_615.jpg,0,0,1,0,99.67028,85.58948,-0.004349818,56.8237,2.23E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_49_655.jpg,0,0,1,0,99.67027,85.58947,-0.004645708,56.8237,1.97E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_49_697.jpg,-1.806378,0,1,0,99.67027,85.58947,-0.004884676,56.8237,2.01E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_49_775.jpg,-5.466977,0,1,0,99.67027,85.58946,-0.005196094,56.8237,1.40E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_49_818.jpg,-7.250051,0,1,0,99.67027,85.58946,-0.005270987,56.8237,1.08E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_49_897.jpg,-3.620512,0,1,0,99.67027,85.58946,-0.005269261,56.8237,4.65E-06
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_49_940.jpg,-1.758749,0,1,0,99.67027,85.58946,-0.005197656,56.8237,1.65E-06
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_50_020.jpg,0,0,1,0,99.67027,85.58947,-0.004927071,56.8237,-3.55E-06
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_50_100.jpg,0,0,1,0,99.67027,85.58947,-0.00450834,56.8237,-7.76E-06
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_50_181.jpg,0,0,1,0,99.67028,85.58948,-0.003970178,56.8237,-1.14E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_50_222.jpg,0,0,1,0,99.67028,85.58949,-0.00366545,56.8237,-1.27E-05
